Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baby-bath-toys,Floating Bath Toys Set,<p>Fun and safe bath toys that float and squirt water. Made from non-toxic materials mold-resistant and easy to clean. Set includes 6 colorful sea creatures.</p>,Splash Time,Uncategorized,Toys,"baby, bath toys, floating, water play",true,Title,Default Title,,,,,,,,BB-BATH-SET-001,250.0,shopify,deny,manual,11.99,14.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/floating-bath-toys-set.png?v=1770180425,1,Floating Bath Toys Set,false,Floating Bath Toys - Safe Water Play for Baby & Toddler,Make bath time fun with these adorable floating friends.,,,,kg,,,active
baby-blanket-fleece,Soft Fleece Baby Blanket,<p>Ultra-soft fleece blanket perfect for keeping baby warm and cozy. Measures 30x40 inches machine washable and hypoallergenic. Ideal for strollers cribs or cuddle time.</p>,Cozy Baby Co,Baby & Toddler > Swaddling & Receiving Blankets > Receiving Blankets,Bedding,"baby, blanket, cozy, fleece, soft",true,Color,Cream,,,,,,,,BB-BLANKET-CREAM,400.0,shopify,deny,manual,19.99,24.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/soft-fleece-baby-blanket.png?v=1770181358,1,Soft Fleece Baby Blanket,false,Soft Fleece Baby Blanket - Hypoallergenic & Washable,Premium quality baby blanket that's gentle on sensitive skin. Perfect for everyday use.,,,,kg,,,active
baby-blanket-fleece,,,,,,,,,Light Blue,,,,,,,,BB-BLANKET-BLUE,400.0,shopify,deny,manual,19.99,24.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-blanket-fleece,,,,,,,,,Pink,,,,,,,,BB-BLANKET-PINK,400.0,shopify,deny,manual,19.99,24.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-bottle-set,Baby Feeding Bottle Set,<p>Anti-colic baby bottles designed to reduce gas and fussing. BPA-free dishwasher safe and includes slow-flow nipples perfect for newborns. Set includes 4 bottles (8oz each).</p>,Baby Essentials,Baby & Toddler > Nursing & Feeding > Feeding Essentials > Baby Bottles > Anti Colic Bottles,Feeding,"anti-colic, baby, bottle, bpa-free, feeding",true,Title,Default Title,,,,,,,,BB-BOTTLE-SET-001,450.0,shopify,deny,manual,24.99,29.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/baby-feeding-bottle-set.png?v=1770181626,1,Baby Feeding Bottle Set,false,Baby Feeding Bottle Set - Anti-Colic BPA Free,Complete feeding solution with 4 anti-colic bottles. Safe and easy to clean for busy parents.,,,,kg,,,active
baby-diaper-bag,Deluxe Baby Diaper Bag,<p>Spacious and stylish diaper bag with 12 pockets insulated bottle holders and changing pad included. Water-resistant material with adjustable shoulder straps and stroller attachments.</p>,TravelEase Baby,Uncategorized,Accessories,"baby, diaper bag, organized, travel",true,Color,Gray,,,,,,,,BB-DIAPER-GRAY,800.0,shopify,deny,manual,39.99,49.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/deluxe-baby-diaper-bag.png?v=1770181197,1,Deluxe Baby Diaper Bag,false,Deluxe Baby Diaper Bag - 12 Pockets with Changing Pad,Ultimate organization for parents on the go. Waterproof and includes all essential compartments.,,,,kg,,,active
baby-diaper-bag,,,,,,,,,Black,,,,,,,,BB-DIAPER-BLACK,800.0,shopify,deny,manual,39.99,49.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-hooded-towel,Hooded Baby Bath Towel,<p>Ultra-absorbent bamboo fiber hooded towel. Extra soft hypoallergenic and perfect for wrapping baby after bath time. Measures 30x30 inches with cute animal hood designs.</p>,Bath Buddies,Uncategorized,Bathing,"baby, bamboo, bath, hooded, towel",true,Design,Bear,,,,,,,,BB-TOWEL-BEAR,350.0,shopify,deny,manual,16.99,21.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0707/7770/0412/files/hooded-baby-bath-towel.png?v=1770180269,1,Hooded Baby Bath Towel,false,Hooded Baby Towel - Soft Bamboo Fiber Bath Towel,Luxuriously soft and absorbent towel that babies love.,,,,kg,,,active
baby-hooded-towel,,,,,,,,,Elephant,,,,,,,,BB-TOWEL-ELEPH,350.0,shopify,deny,manual,16.99,21.99,true,true,,,,,,,,,,,,,,,kg,,,
baby-hooded-towel,,,,,,,,,Bunny,,,,,,,,BB-TOWEL-BUNNY,350.0,shopify,deny,manual,16.99,21.99,true,true,,,,,,,,,,,,,,,kg,,,
