Order ID,Product,Billing Country,Billing Province,Total,Quantity
1001,Organic Baby Blanket,United States,California,$149.99,2
1002,Premium Baby Carrier,United States,Texas,$89.50,1
1003,Organic Baby Blanket,United States,California,$149.99,1
1004,Wooden Teething Ring,United States,New York,$24.99,3
1005,Premium Baby Carrier,United States,Florida,$89.50,2
1006,Baby Sleep Sack,United States,California,$59.99,1
1007,Organic Baby Blanket,United States,Texas,$149.99,1
1008,Wooden Teething Ring,United States,California,$24.99,2
1009,Premium Baby Carrier,United States,New York,$89.50,1
1010,Baby Sleep Sack,United States,Florida,$59.99,2
1011,Organic Baby Blanket,United States,Washington,$149.99,1
1012,Premium Baby Carrier,United States,California,$89.50,3
1013,Wooden Teething Ring,United States,Texas,$24.99,4
1014,Baby Sleep Sack,United States,New York,$59.99,1
1015,Organic Baby Blanket,United States,Florida,$149.99,2
1016,Premium Baby Carrier,United States,Illinois,$89.50,1
1017,Wooden Teething Ring,United States,California,$24.99,2
1018,Baby Sleep Sack,United States,Texas,$59.99,3
1019,Organic Baby Blanket,United States,New York,$149.99,1
1020,Premium Baby Carrier,United States,California,$89.50,2
1021,Wooden Teething Ring,United States,Florida,$24.99,1
1022,Baby Sleep Sack,United States,Washington,$59.99,2
1023,Organic Baby Blanket,United States,Texas,$149.99,2
1024,Premium Baby Carrier,United States,Ohio,$89.50,1
1025,Wooden Teething Ring,United States,California,$24.99,3
1026,Baby Sleep Sack,United States,New York,$59.99,1
1027,Organic Baby Blanket,United States,Florida,$149.99,1
1028,Premium Baby Carrier,United States,Texas,$89.50,2
1029,Wooden Teething Ring,United States,Illinois,$24.99,1
1030,Baby Sleep Sack,United States,California,$59.99,2
